,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
0,11 Comae Berenices b,305,19.4 Jupiters,4.74,2007,Gas Giant,19.4 Jupiters,1.08 x Jupiter,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,100,-100,0.3,0,19,2,-2,14-05-2014,Xinglong Station
1,11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009,Gas Giant,14.74 Jupiters,1.09 x Jupiter,1.53 AU,1.4 years,0.08,11 UMi,Radial Velocity,,46,-46,0.69,0,29.79,2.84,-2.84,06-09-2018,Thueringer Landessternwarte Tautenburg
2,14 Andromedae b,247,4.8 Jupiters,5.227,2008,Gas Giant,4.8 Jupiters,1.15 x Jupiter,0.83 AU,185.8 days,0,14 And,Radial Velocity,,20,-20,0.1,0,11,1,-1,14-05-2014,Okayama Astrophysical Observatory
3,14 Herculis b,59,4.66 Jupiters,6.61,2002,Gas Giant,4.66 Jupiters,1.15 x Jupiter,2.93 AU,4.9 years,0.37,14 Her,Radial Velocity,,25,-25,0.04,0,0.93,0.01,-0.01,06-09-2018,W. M. Keck Observatory
4,16 Cygni B b,69,1.78 Jupiters,6.25,1996,Gas Giant,1.78 Jupiters,1.2 x Jupiter,1.66 AU,2.2 years,0.68,16 Cyg B,Radial Velocity,,8,-8,0.04,0,1.13,0.01,-0.01,06-09-2018,Multiple Observatories
5,18 Delphini b,249,10.3 Jupiters,5.506,2008,Gas Giant,10.3 Jupiters,1.11 x Jupiter,2.6 AU,2.7 years,0.08,18 Del,Radial Velocity,,18,-18,,0,8.5,,,14-05-2014,Okayama Astrophysical Observatory
6,1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008,Gas Giant,8 Jupiters,1.664 x Jupiter,330.0 AU,6505.9 years,0,1RXS J160929.1-210524,Imaging,,300,-200,0.2,0,,,,01-04-2015,Gemini Observatory
7,24 Bootis b,314,0.91 Jupiters,5.58,2018,Gas Giant,0.91 Jupiters,1.24 x Jupiter,0.19 AU,30.4 days,0.04,24 Boo,Radial Velocity,,15,-15,0.19,0,10.64,0.84,-0.59,26-04-2018,Okayama Astrophysical Observatory
8,24 Sextantis b,236,1.99 Jupiters,6.441,2010,Gas Giant,1.99 Jupiters,1.19 x Jupiter,1.333 AU,452.8 days,0.09,24 Sex,Radial Velocity,,44,-44,0.08,0,4.9,0.08,-0.08,14-05-2014,Lick Observatory
9,24 Sextantis c,236,0.86 Jupiters,6.441,2010,Gas Giant,0.86 Jupiters,1.24 x Jupiter,2.08 AU,2.4 years,0.29,24 Sex,Radial Velocity,,44,-44,0.08,0,4.9,0.08,-0.08,14-05-2014,Lick Observatory
10,2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013,Gas Giant,13 Jupiters,1.1 x Jupiter,84.0 AU,1767.2 years,0,2MASS J01033563-5515561 A,Imaging,,,,0.02,0,,,,03-09-2020,Paranal Observatory
11,2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013,Gas Giant,24.5 Jupiters,1.0 x Jupiter,52.0 AU,593.2 years,0,2MASS J01225093-2439505,Imaging,,50,-50,0.05,0,,,,14-05-2014,W. M. Keck Observatory
12,2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015,Gas Giant,13.9 Jupiters,1.44 x Jupiter,156.0 AU,5878.1 years,0,2MASS J02192210-3925225,Imaging,,76,-76,0.01,0,0.28,0.01,-0.01,14-05-2015,Cerro Tololo Inter-American Observatory
13,2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010,Gas Giant,7.5 Jupiters,1.13 x Jupiter,15.0 AU,411 years,0,2MASS J04414489+2301513,Imaging,,,,,0,,,,14-05-2014,Hubble Space Telescope
14,2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004,Gas Giant,4 Jupiters,1.16 x Jupiter,46.0 AU,2207.3 years,0,2MASS J12073346-3932539,Imaging,,,,,0,,,,14-05-2014,Paranal Observatory
15,2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015,Gas Giant,1.9 Jupiters,1.2 x Jupiter,0.92 AU,416 days,0,2MASS J19383260+4603591,Eclipse Timing Variations,,,,0.03,0,,,,04-06-2015,Kepler
16,2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009,Gas Giant,20.95 Jupiters,0.92 x Jupiter,Unknown,20.1 years,0.26,2MASS J21402931+1625183 A,Imaging,,80,-80,0.06,0,0.12,0.05,-0.04,14-05-2014,W. M. Keck Observatory
17,2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016,Gas Giant,12.5 Jupiters,1.1 x Jupiter,230.0 AU,4505.7 years,0,2MASS J22362452+4751425,Imaging,,35,-35,0.05,0,,,,10-11-2016,W. M. Keck Observatory
18,30 Arietis B b,146,13.82 Jupiters,6.962,2009,Gas Giant,13.82 Jupiters,1.1 x Jupiter,0.99 AU,335.1 days,0.29,30 Ari B,Radial Velocity,,61,-61,0.27,0,1.41,0.05,-0.05,06-09-2018,Thueringer Landessternwarte Tautenburg
19,42 Draconis b,296,3.88 Jupiters,4.82,2008,Gas Giant,3.88 Jupiters,1.16 x Jupiter,1.19 AU,479.1 days,0.38,4 UMa,Radial Velocity,,70,-70,0.15,0,18.11,1.47,-1.47,14-05-2014,Thueringer Landessternwarte Tautenburg
20,47 Ursae Majoris b,45,2.53 Jupiters,5.05,1996,Gas Giant,2.53 Jupiters,1.18 x Jupiter,2.1 AU,3 years,0.03,42 Dra,Radial Velocity,,70,-70,0.05,0,22.03,1,-1,14-05-2014,Thueringer Landessternwarte Tautenburg
21,47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001,Gas Giant,0.54 Jupiters,1.27 x Jupiter,3.6 AU,6.6 years,0.1,47 UMa,Radial Velocity,,70,-70,0.05,0,1.23,,,14-05-2014,Lick Observatory
22,47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009,Gas Giant,1.64 Jupiters,1.2 x Jupiter,11.6 AU,38.4 years,0.16,47 UMa,Radial Velocity,,70,-70,0.05,0,1.23,,,14-05-2014,Lick Observatory
23,4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006,Gas Giant,7.1 Jupiters,1.13 x Jupiter,0.87 AU,269.3 days,0.43,47 UMa,Radial Velocity,,70,-70,0.05,0,1.23,,,14-05-2014,Lick Observatory
24,51 Eridani b,96,2 Jupiters,5.23,2015,Gas Giant,2 Jupiters,1.19 x Jupiter,12.0 AU,32 years,0.45,51 Eri,Imaging,,,,0.05,0,,,,11-07-2019,Gemini Observatory
25,51 Pegasi b,50,0.46 Jupiters,5.5,1995,Gas Giant,0.46 Jupiters,1.27 x Jupiter,0.0527 AU,4.2 days,0.01,51 Peg,Radial Velocity,,70,-70,0.06,0,1.2,,,14-05-2014,Haute-Provence Observatory
26,55 Cancri b,41,0.8306 Jupiters,5.96,1996,Gas Giant,0.8306 Jupiters,1.24 x Jupiter,0.115227 AU,14.7 days,0,55 Cnc,Radial Velocity,,24,-24,0.01,0,0.94,0.01,-0.01,29-10-2014,Lick Observatory
27,55 Cancri c,41,0.1714 Jupiters,5.96,2004,Gas Giant,0.1714 Jupiters,0.76 x Jupiter,0.241376 AU,44.4 days,0.02,55 Cnc,Radial Velocity,,24,-24,0.01,0,0.94,0.01,-0.01,29-10-2014,McDonald Observatory
28,55 Cancri d,41,3.878 Jupiters,5.96,2002,Gas Giant,3.878 Jupiters,1.16 x Jupiter,5.503 AU,13.2 years,0.02,55 Cnc,Radial Velocity,,24,-24,0.01,0,0.94,0.01,-0.01,29-10-2014,Lick Observatory
29,55 Cancri e,41,8.08 Earths,5.96,2004,Super Earth,8.08 Earths,1.91 x Earth,0.01544 AU,0.7 days,0.03,55 Cnc,Radial Velocity,-0.7,24,-24,0.01,0,0.94,0.01,-0.01,31-01-2019,McDonald Observatory
30,55 Cancri f,41,0.141 Jupiters,5.96,2007,Gas Giant,0.141 Jupiters,0.677 x Jupiter,0.788 AU,262 days,0.31,55 Cnc,Radial Velocity,,24,-24,0.01,0,0.94,0.01,-0.01,29-10-2014,Multiple Observatories
31,61 Virginis b,28,5.1 Earths,4.74,2009,Neptune-like,5.1 Earths,2.11 x Earth,0.050201 AU,4.2 days,0.12,6 Lyn,Radial Velocity,,,,,0,5.2,,,06-12-2018,Okayama Astrophysical Observatory
32,61 Virginis c,28,18.2 Earths,4.74,2009,Neptune-like,18.2 Earths,0.398 x Jupiter,0.2175 AU,38 days,0.14,61 Vir,Radial Velocity,,33,-33,0.03,0,0.96,0.01,-0.01,14-05-2014,Multiple Observatories
33,61 Virginis d,28,22.9 Earths,4.74,2009,Neptune-like,22.9 Earths,0.456 x Jupiter,0.476 AU,123 days,0.35,61 Vir,Radial Velocity,,33,-33,0.03,0,0.96,0.01,-0.01,14-05-2014,Multiple Observatories
34,6 Lyncis b,179,2.01 Jupiters,5.86,2008,Gas Giant,2.01 Jupiters,1.19 x Jupiter,2.11 AU,2.6 years,0.07,61 Vir,Radial Velocity,,33,-33,0.03,0,0.96,0.01,-0.01,14-05-2014,Multiple Observatories
35,70 Virginis b,58,7.49 Jupiters,4.97,1996,Gas Giant,7.49 Jupiters,1.13 x Jupiter,0.481 AU,116.7 days,0.4,7 CMa,Radial Velocity,,45,-55,0.11,0,4.87,0.17,-0.14,24-10-2019,Anglo-Australian Telescope
36,75 Ceti b,271,3 Jupiters,5.35,2012,Gas Giant,3 Jupiters,1.17 x Jupiter,2.1 AU,1.9 years,0.12,7 CMa,Radial Velocity,,45,-55,0.11,0,4.87,0.17,-0.14,24-10-2019,Multiple Observatories
37,7 Canis Majoris b,65,1.85 Jupiters,3.92,2011,Gas Giant,1.85 Jupiters,1.2 x Jupiter,1.758 AU,2 years,0.06,70 Vir,Radial Velocity,,,,,0,1.89,,,06-12-2018,Lick Observatory
38,7 Canis Majoris c,65,0.87 Jupiters,3.92,2019,Gas Giant,0.87 Jupiters,1.24 x Jupiter,2.153 AU,2.7 years,0.08,75 Cet,Radial Velocity,,18,-18,0.02,0,10.5,1,-1,03-09-2015,Okayama Astrophysical Observatory
39,81 Ceti b,331,5.3 Jupiters,5.65,2008,Gas Giant,5.3 Jupiters,1.14 x Jupiter,2.5 AU,2.6 years,0.21,8 UMi,Radial Velocity,,7,-7,0.19,0,10.3,0.57,-0.57,06-09-2018,Bohyunsan Optical Astronomical Observatory
40,8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015,Gas Giant,1.31 Jupiters,1.22 x Jupiter,0.49 AU,93.4 days,0.06,81 Cet,Radial Velocity,,25,-25,0.1,0,11,2,-1,14-05-2014,Okayama Astrophysical Observatory
41,91 Aquarii b,144,3.2 Jupiters,4.25,2013,Gas Giant,3.2 Jupiters,1.17 x Jupiter,0.7 AU,181.4 days,0.03,91 Aqr,Radial Velocity,,18,-18,0.1,0,11,0.1,-0.1,14-05-2014,Lick Observatory
42,AB Pictoris b,163,13.5 Jupiters,9.128,2005,Gas Giant,13.5 Jupiters,1.1 x Jupiter,260.0 AU,4421.7 years,0,AB Pic,Imaging,,,,,,,,,14-05-2014,Paranal Observatory
43,Alpha Arietis b,66,1.8 Jupiters,2,2010,Gas Giant,1.8 Jupiters,1.2 x Jupiter,1.2 AU,380.8 days,0.25,alf Ari,Radial Velocity,,15,,0.2,0,13.9,0.3,,31-01-2019,Bohyunsan Optical Astronomical Observatory
44,Alpha Tauri b,67,6.47 Jupiters,0.85,2015,Gas Giant,6.47 Jupiters,1.13 x Jupiter,1.46 AU,1.7 years,0.1,alf Tau,Radial Velocity,,70,-70,0.11,0,45.1,0.1,-0.1,04-06-2015,Multiple Observatories
45,AU Microscopii b,32,0.18 Jupiters,8.81,2020,Gas Giant,0.18 Jupiters,0.375 x Jupiter,0.066 AU,8.5 days,0.1,AU Mic,Transit,,100,-100,0.03,0,0.75,0.03,-0.03,24-06-2020,Transiting Exoplanet Survey Satellite (TESS)
46,BD+03 2562 b,8540,6.4 Jupiters,9.58,2017,Gas Giant,6.4 Jupiters,1.13 x Jupiter,1.3 AU,481.9 days,0.2,BD+03 2562,Radial Velocity,,20,-20,0.25,0,32.35,8.82,-8.82,15-06-2017,Multiple Observatories
47,BD-06 1339 b,66,8.5 Earths,9.7,2013,Neptune-like,8.5 Earths,0.254 x Jupiter,0.0428 AU,3.9 days,0,BD+14 4559,Radial Velocity,,101,-101,0.33,0,0.86,0.04,-0.04,06-09-2018,McDonald Observatory
48,BD-06 1339 c,66,0.17 Jupiters,9.7,2013,Gas Giant,0.17 Jupiters,0.747 x Jupiter,0.435 AU,125.9 days,0.31,BD+15 2375,Radial Velocity,,30,-30,0.14,0,8.95,1.45,-1.45,04-02-2016,Roque de los Muchachos Observatory
49,BD-08 2823 b,135,12.7132 Earths,9.88,2009,Neptune-like,12.7132 Earths,0.322 x Jupiter,0.06 AU,5.6 days,0.15,BD+15 2940,Radial Velocity,,117,-117,0.2,0,14.7,2.8,-2.8,14-05-2014,McDonald Observatory
50,BD-08 2823 c,135,0.33 Jupiters,9.88,2009,Gas Giant,0.33 Jupiters,1.11 x Jupiter,0.68 AU,237.6 days,0.19,BD+20 2457,Radial Velocity,,64,-64,22.96,0,71.02,73.63,-73.63,06-09-2018,McDonald Observatory
51,BD-10 3166 b,276,0.59 Jupiters,10.08,2000,Gas Giant,0.59 Jupiters,1.26 x Jupiter,0.04 AU,3.5 days,0.02,BD+20 2457,Radial Velocity,,64,-64,22.96,0,71.02,73.63,-73.63,14-05-2014,McDonald Observatory
52,BD-11 4672 b,89,0.65 Jupiters,9.99,2014,Gas Giant,0.65 Jupiters,1.25 x Jupiter,2.36 AU,4.5 years,0.05,BD+20 274,Radial Velocity,,10,-10,0.2,0,17.3,0.9,-0.9,18-09-2015,McDonald Observatory
53,BD-11 4672 c,89,15.37 Earths,9.99,2020,Neptune-like,15.37 Earths,0.36 x Jupiter,0.3 AU,74.2 days,0.4,BD+20 594,Transit,,99,-99,0.4,0,1.08,0.06,-0.06,26-04-2018,K2
54,BD-13 2130 b,3095,9.78 Jupiters,9.45,2007,Gas Giant,9.78 Jupiters,1.11 x Jupiter,1.66 AU,2 years,0.21,BD+48 738,Radial Velocity,,15,-15,0.39,0,11,1,-1,13-08-2015,McDonald Observatory
55,BD+14 4559 b,161,1.04 Jupiters,9.63,2009,Gas Giant,1.04 Jupiters,1.23 x Jupiter,0.78 AU,268.9 days,0.29,BD+48 740,Radial Velocity,,8,-8,0.16,0,10.33,1.81,-1.81,01-02-2018,Multiple Observatories
56,BD+15 2375 b,2525,1.061 Jupiters,10.31,2016,Gas Giant,1.061 Jupiters,1.23 x Jupiter,0.576 AU,153.2 days,0,BD+49 828,Radial Velocity,,30,-30,0.22,0,7.6,1.3,-1.3,05-02-2015,McDonald Observatory
57,BD+15 2940 b,1408,1.11 Jupiters,9.046,2013,Gas Giant,1.11 Jupiters,1.23 x Jupiter,0.539 AU,137.5 days,0.26,BD-06 1339,Radial Velocity,,100,-100,,0,,,,14-05-2014,La Silla Observatory
58,BD-17 63 b,113,5.1 Jupiters,9.566,2008,Gas Giant,5.1 Jupiters,1.15 x Jupiter,1.34 AU,1.8 years,0.54,BD-06 1339,Radial Velocity,,100,-100,,0,,,,14-05-2014,La Silla Observatory
59,BD+20 2457 b,5450,55.59 Jupiters,9.75,2009,Gas Giant,55.59 Jupiters,1.03 x Jupiter,1.05 AU,379.6 days,0.15,BD-08 2823,Radial Velocity,,114,-114,0.26,0,0.71,0.04,-0.04,06-09-2018,La Silla Observatory
60,BD+20 2457 c,5450,12.47 Jupiters,9.75,2009,Gas Giant,12.47 Jupiters,1.1 x Jupiter,2.01 AU,1.7 years,0.18,BD-08 2823,Radial Velocity,,114,-114,0.26,0,0.71,0.04,-0.04,14-05-2014,La Silla Observatory
61,BD+20 274 b,4514,4.2 Jupiters,9.36,2012,Gas Giant,4.2 Jupiters,1.16 x Jupiter,1.3 AU,1.6 years,0.21,BD-10 3166,Radial Velocity,,44,-44,0.24,0,0.91,0.04,-0.04,06-09-2018,W. M. Keck Observatory
62,BD+20 594 b,588,22.2481 Earths,11.038,2016,Neptune-like,22.2481 Earths,0.23 x Jupiter,0.241 AU,41.7 days,0,BD-11 4672,Radial Velocity,,110,-110,0.03,0,0.64,0.02,-0.02,23-07-2020,La Silla Observatory
63,BD+48 738 b,2910,0.91 Jupiters,9.14,2011,Gas Giant,0.91 Jupiters,1.24 x Jupiter,1.0 AU,392.6 days,0.2,BD-11 4672,Radial Velocity,,110,-110,0.03,0,0.64,0.02,-0.02,23-07-2020,Roque de los Muchachos Observatory
64,BD+48 740 b,2215,1.7 Jupiters,8.699,2018,Gas Giant,1.7 Jupiters,1.2 x Jupiter,1.7 AU,2 years,0.76,BD-13 2130,Radial Velocity,,71,-71,1.47,0,19.17,4.96,-4.96,06-09-2018,La Silla Observatory
65,BD+49 828 b,1460,1.6 Jupiters,9.38,2015,Gas Giant,1.6 Jupiters,1.21 x Jupiter,4.2 AU,7.1 years,0.35,BD-17 63,Radial Velocity,,93,-93,0.03,0,0.69,,,14-05-2014,La Silla Observatory
66,Beta Cancri b,295,7.8 Jupiters,3.53,2014,Gas Giant,7.8 Jupiters,1.12 x Jupiter,1.7 AU,1.7 years,0.08,bet Cnc,Radial Velocity,,17.5,-17.5,0.1,0,47.2,1.3,-1.3,14-05-2014,Bohyunsan Optical Astronomical Observatory
67,Beta Pictoris b,64,11 Jupiters,3.85,2008,Gas Giant,11 Jupiters,1.65 x Jupiter,9.1 AU,21 years,0.08,bet Pic,Imaging,,,,0.18,0,,,,13-08-2015,Paranal Observatory
68,Beta Pictoris c,64,9 Jupiters,3.85,2019,Gas Giant,9 Jupiters,1.12 x Jupiter,2.7 AU,3.3 years,0.24,bet Pic,Radial Velocity,,,,0.18,0,,,,29-08-2019,La Silla Observatory
69,Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014,Gas Giant,6.1 Jupiters,1.14 x Jupiter,1.4 AU,1.4 years,0.19,bet UMi,Radial Velocity,,25,-25,0.2,0,38.3,1.1,-1.1,14-05-2014,Bohyunsan Optical Astronomical Observatory
70,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,Gas Giant,10.5 Jupiters,1.11 x Jupiter,2.6 AU,27.5 years,0,CFBDSIR J145829+101343,Imaging,,24.5,-24.5,0.01,0,,,,14-05-2014,W. M. Keck Observatory
71,CHXR 73 b,623,12.569 Jupiters,17.293,2006,Gas Giant,12.569 Jupiters,1.1 x Jupiter,210.0 AU,5146.9 years,0,CHXR 73,Imaging,,,,,0,,,,14-05-2014,Hubble Space Telescope
72,CI Tauri b,515,11.6 Jupiters,12.939,2019,Gas Giant,11.6 Jupiters,1.11 x Jupiter,Unknown,9 days,0.25,CI Tau,Radial Velocity,,,,0.02,0,,,,27-06-2019,Multiple Observatories
73,CoRoT-10 b,1125,2.75 Jupiters,15.22,2010,Gas Giant,2.75 Jupiters,0.97 x Jupiter,0.1055 AU,13.2 days,0.53,CoRoT-1,Transit,-0.05,150,-150,0.15,0,1.11,0.05,-0.05,14-05-2014,CoRoT
74,CoRoT-11 b,1827,2.33 Jupiters,12.939,2010,Gas Giant,2.33 Jupiters,1.43 x Jupiter,0.0436 AU,3 days,0,CoRoT-10,Transit,-0.83,75,-75,0.05,0,0.79,0.05,-0.05,14-05-2014,CoRoT
75,CoRoT-12 b,3751,0.917 Jupiters,15.515,2010,Gas Giant,0.917 Jupiters,1.44 x Jupiter,0.04016 AU,2.8 days,0.07,CoRoT-11,Transit,-0.15,120,-120,0.05,0,1.37,0.03,-0.03,14-05-2014,CoRoT
76,CoRoT-13 b,3458,1.308 Jupiters,15.039,2010,Gas Giant,1.308 Jupiters,0.885 x Jupiter,0.051 AU,4 days,0,CoRoT-12,Transit,-0.094,80,-80,0.08,0,1.12,0.1,-0.09,14-05-2014,CoRoT
77,CoRoT-14 b,4371,7.6 Jupiters,16.033,2010,Gas Giant,7.6 Jupiters,1.09 x Jupiter,0.027 AU,1.5 days,0,CoRoT-13,Transit,-0.23,90,-90,0.02,0,1.01,0.03,-0.03,14-05-2014,CoRoT
78,CoRoT-16 b,2740,0.535 Jupiters,15.63,2011,Gas Giant,0.535 Jupiters,1.17 x Jupiter,0.0618 AU,5.4 days,0.33,CoRoT-14,Transit,-1.5,100,-100,0.09,0,1.21,0.08,-0.08,14-05-2014,CoRoT
79,CoRoT-17 b,3001,2.43 Jupiters,15.46,2011,Gas Giant,2.43 Jupiters,1.02 x Jupiter,0.0461 AU,3.8 days,0,CoRoT-16,Transit,-0.14,100,-100,0.08,0,1.19,0.14,-0.13,14-05-2014,CoRoT
80,CoRoT-18 b,2838,3.47 Jupiters,15,2011,Gas Giant,3.47 Jupiters,1.31 x Jupiter,0.0295 AU,1.9 days,< 0.08,CoRoT-17,Transit,-0.38,80,-80,0.1,0,1.59,0.07,-0.07,14-05-2014,CoRoT
81,CoRoT-19 b,2512,1.11 Jupiters,14.007,2011,Gas Giant,1.11 Jupiters,1.29 x Jupiter,0.0518 AU,3.9 days,0.05,CoRoT-18,Transit,-0.8,100,-100,0.15,0,1,0.13,-0.13,14-05-2014,CoRoT
82,CoRoT-1 b,2627,1.03 Jupiters,13.6,2008,Gas Giant,1.03 Jupiters,1.49 x Jupiter,0.02752 AU,1.5 days,0,CoRoT-19,Transit,-0.06,70,-70,0.05,0,1.65,0.04,-0.04,14-05-2014,CoRoT
83,CoRoT-20 b,2819,4.3 Jupiters,14.66,2011,Gas Giant,4.3 Jupiters,0.84 x Jupiter,0.09 AU,9.2 days,0.59,CoRoT-2,Transit,-0.074,120,-120,0.08,0,0.91,0.03,-0.03,14-05-2014,CoRoT
84,CoRoT-20 c,2819,17 Jupiters,14.66,2018,Gas Giant,17 Jupiters,1.09 x Jupiter,2.9 AU,4.6 years,0.6,CoRoT-20,Transit,,,,0.08,0,,,,19-07-2018,CoRoT
85,CoRoT-21 b,4563,2.26 Jupiters,16,2012,Gas Giant,2.26 Jupiters,1.3 x Jupiter,0.0417 AU,2.7 days,0,CoRoT-20,Radial Velocity,,,,0.08,0,,,,19-07-2018,Multiple Observatories
86,CoRoT-22 b,1931,12.2 Earths,13.944,2014,Neptune-like,12.2 Earths,0.435 x Jupiter,0.092 AU,9.8 days,0.08,CoRoT-21,Transit,-0.48,100,-100,0.09,0,1.95,0.21,-0.21,06-12-2018,CoRoT
87,CoRoT-23 b,1957,2.8 Jupiters,15.63,2011,Gas Giant,2.8 Jupiters,1.05 x Jupiter,0.048 AU,3.6 days,0.16,CoRoT-22,Transit,-0.097,54,-120,0.05,0,1.14,0.04,-0.09,21-08-2014,CoRoT
88,CoRoT-24 b,1957,5.7 Earths,15.18,2014,Neptune-like,5.7 Earths,0.33 x Jupiter,0.056 AU,5.1 days,0,CoRoT-23,Transit,-1.1,100,-100,0.08,0,1.61,0.18,-0.18,14-05-2014,CoRoT
89,CoRoT-24 c,1957,28 Earths,15.18,2014,Neptune-like,28 Earths,0.44 x Jupiter,0.098 AU,11.8 days,0,CoRoT-24,Transit,,150,-150,0.09,0,0.86,0.09,-0.09,31-05-2018,CoRoT
90,CoRoT-25 b,3262,0.27 Jupiters,14.711,2013,Gas Giant,0.27 Jupiters,1.08 x Jupiter,0.0578 AU,4.9 days,0,CoRoT-24,Transit,-0.4,150,-150,0.09,0,0.86,0.09,-0.09,11-06-2014,CoRoT
91,CoRoT-26 b,5448,0.52 Jupiters,15.468,2013,Gas Giant,0.52 Jupiters,1.26 x Jupiter,0.0526 AU,4.2 days,0,CoRoT-25,Transit,-0.06,90,-90,0.11,0,1.19,0.14,-0.03,14-05-2014,CoRoT
92,CoRoT-27 b,3377,10.39 Jupiters,15.54,2014,Gas Giant,10.39 Jupiters,1.007 x Jupiter,0.0476 AU,3.6 days,< 0.065,CoRoT-26,Transit,-0.07,100,-100,0.06,0,1.79,0.18,-0.09,14-05-2014,CoRoT
93,CoRoT-28 b,1827,0.484 Jupiters,13.412,2015,Gas Giant,0.484 Jupiters,0.955 x Jupiter,0.0603 AU,5.2 days,0.05,CoRoT-27,Transit,-1.67,120,-120,0.11,0,1.08,0.18,-0.06,14-05-2014,CoRoT
94,CoRoT-29 b,2495,0.85 Jupiters,15.239,2015,Gas Giant,0.85 Jupiters,0.9 x Jupiter,0.0386 AU,2.9 days,0.08,CoRoT-28,Transit,-0.27,100,-100,0.14,0,1.78,0.11,-0.11,16-04-2015,CoRoT
95,CoRoT-2 b,652,3.47 Jupiters,12.57,2008,Gas Giant,3.47 Jupiters,1.466 x Jupiter,0.02798 AU,1.7 days,0.01,CoRoT-29,Transit,-0.74,100,-100,0.14,0,0.9,0.12,-0.12,16-04-2015,CoRoT
96,CoRoT-30 b,3132,2.9 Jupiters,15.65,2020,Gas Giant,2.9 Jupiters,1.009 x Jupiter,0.0844 AU,9.1 days,0.01,CoRoT-3,Transit,-5.6,140,-140,0.09,0,1.56,0.09,-0.09,14-05-2014,CoRoT
97,CoRoT-31 b,7144,0.84 Jupiters,15.465,2020,Gas Giant,0.84 Jupiters,1.46 x Jupiter,0.0586 AU,4.6 days,0.02,CoRoT-30,Transit,-0.65,100,-100,0.03,0,0.91,0.09,-0.03,16-04-2020,CoRoT
98,CoRoT-3 b,2218,21.66 Jupiters,13.292,2008,Gas Giant,21.66 Jupiters,1.01 x Jupiter,0.05783 AU,4.3 days,0,CoRoT-31,Transit,-0.18,120,-120,0.22,0,2.15,0.56,-0.66,16-04-2020,CoRoT
99,CoRoT-4 b,2419,0.72 Jupiters,13.561,2008,Gas Giant,0.72 Jupiters,1.19 x Jupiter,0.09 AU,9.2 days,0,CoRoT-4,Transit,-0.15,60,-60,0.03,0,1.17,0.01,-0.03,14-05-2014,CoRoT
100,CoRoT-5 b,2951,0.467 Jupiters,13.902,2009,Gas Giant,0.467 Jupiters,1.388 x Jupiter,0.04947 AU,4 days,0.09,CoRoT-5,Transit,-0.025,65,-65,0.02,0,1.19,0.04,-0.04,14-05-2014,CoRoT
101,CoRoT-6 b,2144,2.96 Jupiters,13.912,2009,Gas Giant,2.96 Jupiters,1.166 x Jupiter,0.0855 AU,8.9 days,< 0.1,CoRoT-6,Transit,-0.31,70,-70,0.05,0,1.02,0.03,-0.03,14-05-2014,CoRoT
102,CoRoT-7 b,524,3.1783 Earths,11.668,2009,Super Earth,3.1783 Earths,1.681 x Earth,0.017016 AU,0.9 days,0,CoRoT-7,Transit,,75,-75,0.17,0,0.83,0.04,-0.04,06-12-2018,CoRoT
103,CoRoT-7 c,524,8.4 Earths,11.668,2009,Neptune-like,8.4 Earths,0.253 x Jupiter,0.046 AU,3.7 days,0,CoRoT-7,Radial Velocity,,75,-75,0.17,0,0.83,0.04,-0.04,10-09-2015,CoRoT
104,CoRoT-8 b,1240,0.22 Jupiters,14.8,2010,Gas Giant,0.22 Jupiters,0.57 x Jupiter,0.063 AU,6.2 days,0,CoRoT-8,Transit,-0.1,80,-80,0.04,0,0.77,0.02,-0.02,14-05-2014,CoRoT
105,CoRoT-9 b,1363,0.84 Jupiters,13.69,2009,Gas Giant,0.84 Jupiters,1.066 x Jupiter,0.4021 AU,95.3 days,0.13,CoRoT-9,Transit,-0.16,80,-80,0.04,0,0.96,0.06,-0.06,14-12-2017,CoRoT
106,CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017,Gas Giant,0.15 Jupiters,0.57 x Jupiter,0.071 AU,6.7 days,0,CoRoTID 223977153,Transit,-0.8,100,-100,0.08,0,0.79,0.08,-0.09,15-09-2017,CoRoT
