,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
4004,Qatar-9 b,690,1.19 Jupiters,14.133,2019,Gas Giant,1.19 Jupiters,1.009 x Jupiter,0.0234 AU,1.5 days,0,Qatar-9,Transit,-0.2,31,-31,0.02,0,0.7,0.01,-0.01,02-05-2019,Qatar
4005,Rho Coronae Borealis b,57,1.0449 Jupiters,5.41,1997,Gas Giant,1.0449 Jupiters,1.23 x Jupiter,0.2196 AU,39.8 days,0.04,rho CrB,Radial Velocity,,54,-54,0.03,0,1.36,0.03,-0.03,27-10-2016,Fred Lawrence Whipple Observatory
4006,Rho Coronae Borealis c,57,25 Earths,5.41,2016,Neptune-like,25 Earths,0.48 x Jupiter,0.4123 AU,102.5 days,0.05,rho CrB,Radial Velocity,,54,-54,0.03,0,1.36,0.03,-0.03,27-10-2016,Multiple Observatories
4007,Ross 128 b,11,1.4 Earths,11.15,2017,Super Earth,1.4 Earths,1.11 x Earth,0.0496 AU,9.9 days,0.12,Ross 128,Radial Velocity,,60,-60,0.02,0,0.2,0.01,-0.01,17-11-2017,La Silla Observatory
4008,Ross 458 c,38,6 Jupiters,9.72,2010,Gas Giant,6 Jupiters,1.25 x Jupiter,1100.0 AU,52148.2 years,0,Ross 458,Imaging,,,,,0,0.63,,,24-09-2020,Las Campanas Observatory
4009,ROXs 12 b,448,16 Jupiters,14.294,2013,Gas Giant,16 Jupiters,1.09 x Jupiter,210.0 AU,3264.5 years,< 0.83,ROXs 12,Imaging,,100,-70,0.08,0,,,,14-05-2014,W. M. Keck Observatory
4010,ROXs 42 B b,440,9 Jupiters,13.116,2013,Gas Giant,9 Jupiters,1.12 x Jupiter,157.0 AU,1968.3 years,< 0.58,ROXs 42 B,Imaging,,,,,0,,,,14-05-2014,Multiple Observatories
4011,RR Caeli b,69,4.2 Jupiters,13.658,2012,Gas Giant,4.2 Jupiters,1.16 x Jupiter,5.3 AU,11.9 years,0,RR Cae,Eclipse Timing Variations,,,,,0,,,,27-08-2015,Leoncito Astronomical Complex
4012,SR 12 AB c,366,13 Jupiters,13.265,2010,Gas Giant,13 Jupiters,1.1 x Jupiter,Unknown,365 days,0,SR 12 AB,Imaging,,,,,,,,,14-05-2014,Infrared Survey Facility
4013,SWEEPS-11 b,27727,9.7 Jupiters,19.83,2006,Gas Giant,9.7 Jupiters,1.13 x Jupiter,0.03 AU,1.8 days,0,SWEEPS-11,Transit,,,,,0,1.45,,,14-05-2014,Hubble Space Telescope
4014,SWEEPS-4 b,27727,3.8 Jupiters,18.8,2006,Gas Giant,3.8 Jupiters,0.81 x Jupiter,0.055 AU,4.2 days,0,SWEEPS-4,Transit,,,,,0,1.18,,,14-05-2014,Hubble Space Telescope
4015,TAP 26 b,480,1.66 Jupiters,11.81,2017,Gas Giant,1.66 Jupiters,1.2 x Jupiter,0.0968 AU,10.8 days,0,TAP 26,Radial Velocity,,50,-50,0.1,0,1.17,0.17,-0.17,02-02-2017,Multiple Facilities
4016,Tau Bootis b,51,5.95 Jupiters,4.5,1996,Gas Giant,5.95 Jupiters,1.14 x Jupiter,0.049 AU,3.3 days,0.01,tau Boo,Radial Velocity,,,,0.05,0,1.46,0.05,-0.05,16-04-2015,Roque de los Muchachos Observatory
4017,Tau Ceti e,12,3.93 Earths,3.5,2017,Super Earth,3.93 Earths,1.81 x Earth,0.538 AU,162.9 days,0.18,tau Cet,Radial Velocity,,,,0.01,0,,,,17-08-2017,Multiple Observatories
4018,Tau Ceti f,12,3.93 Earths,3.5,2017,Super Earth,3.93 Earths,1.81 x Earth,1.334 AU,1.7 years,0.16,tau Cet,Radial Velocity,,,,0.01,0,,,,17-08-2017,Multiple Observatories
4019,Tau Ceti g,12,1.75 Earths,3.5,2017,Super Earth,1.75 Earths,1.18 x Earth,0.133 AU,20 days,0.06,tau Cet,Radial Velocity,,,,0.01,0,,,,17-08-2017,Multiple Observatories
4020,Tau Ceti h,12,1.83 Earths,3.5,2017,Super Earth,1.83 Earths,1.19 x Earth,0.243 AU,49.4 days,0.23,tau Cet,Radial Velocity,,,,0.01,0,,,,17-08-2017,Multiple Observatories
4021,Tau Geminorum b,367,20.6 Jupiters,4.42,2013,Gas Giant,20.6 Jupiters,1.08 x Jupiter,1.17 AU,305.5 days,0.03,tau Gem,Radial Velocity,,25,-25,0.3,0,26.8,0.7,-0.7,14-05-2014,Lick Observatory
4022,TCP J05074264+2447555 b,1240,9.2 Earths,,2018,Neptune-like,9.2 Earths,0.266 x Jupiter,0.5 AU,258.2 days,0,TCP J05074264+2447555,Microlensing,,,,0.18,0,,,,01-03-2018,Multiple Observatories
4023,Teegarden's Star b,12,1.05 Earths,15.08,2019,Super Earth,1.05 Earths,1.02 x Earth,0.0252 AU,4.9 days,0,Teegarden's Star,Radial Velocity,,51,-51,0.01,0,0.11,0,0,27-06-2019,Calar Alto Observatory
4024,Teegarden's Star c,12,1.11 Earths,15.08,2019,Super Earth,1.11 Earths,1.04 x Earth,0.0443 AU,11.4 days,0,Teegarden's Star,Radial Velocity,,51,-51,0.01,0,0.11,0,0,27-06-2019,Calar Alto Observatory
4025,TOI-1130 b,190,12.9 Earths,11.368,2020,Neptune-like,12.9 Earths,0.326 x Jupiter,0.04394 AU,4.1 days,0.22,TOI-1130,Transit,,67,-67,0.02,0,0.69,0.01,-0.01,02-04-2020,Transiting Exoplanet Survey Satellite (TESS)
4026,TOI-1130 c,190,0.974 Jupiters,11.368,2020,Gas Giant,0.974 Jupiters,1.5 x Jupiter,0.07098 AU,8.4 days,0.05,TOI-1130,Transit,-0.15,67,-67,0.02,0,0.69,0.01,-0.01,02-04-2020,Transiting Exoplanet Survey Satellite (TESS)
